id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,year_remod
1957,535450190,50,5,60.0,8064,1,2,0,1,2,2,0,11,0,4,3,1,5,7,44.14748010928823,2006,2,0,6,8,1,0.0,1,2,3,2,2,1,4,0.0,3,0.0,672.0,672.0,4,4,1,4,672,252,0,924,0.0,0.0,1,0,3,1,1,6,7,1,0,1,2003.0,0,2.0,576.0,2,3,2,0,0,0,0,0,0,4,2,1,2000,7,2007,4,122900,44.78839135311738
380,527355150,20,5,80.0,9600,1,2,0,1,2,1,0,16,8,4,3,4,8,5,44.50842616853577,1981,5,4,10,11,1,0.0,2,3,5,3,2,0,3,1104.0,3,0.0,1420.0,2524.0,4,2,1,4,2524,0,0,2524,1.0,0.0,2,1,4,1,2,9,7,1,3,4,1981.0,2,2.0,542.0,2,3,2,474,120,0,0,0,0,4,2,4,0,7,2009,4,278000,44.50842616853577
2860,909276010,70,5,59.0,11435,1,2,2,3,2,2,2,19,5,4,3,6,8,7,43.9203825119955,1950,2,0,10,6,1,0.0,1,3,5,3,2,0,4,0.0,3,0.0,792.0,792.0,4,1,1,4,792,725,0,1517,0.0,0.0,1,0,3,1,2,7,7,2,3,1,1931.0,0,2.0,400.0,2,3,2,0,0,0,0,0,0,4,4,4,0,6,2006,4,230000,44.15880433163923
2517,533250130,120,5,30.0,9549,1,2,2,1,2,4,0,23,5,4,4,4,8,5,44.66542286825459,1996,5,0,10,11,1,0.0,2,2,5,3,4,2,2,437.0,5,1057.0,0.0,1494.0,4,4,1,4,1494,0,0,1494,1.0,0.0,1,1,2,1,3,6,7,1,3,4,1995.0,2,2.0,481.0,2,3,2,0,30,0,0,216,0,4,4,4,0,4,2006,4,270000,44.67661580737735
1933,535302070,20,5,60.0,10950,1,2,0,1,2,1,0,11,5,4,3,4,6,6,44.181444068749045,1952,5,0,5,5,1,0.0,1,3,3,2,2,0,3,441.0,3,0.0,507.0,948.0,4,2,1,4,948,0,0,948,0.0,0.0,1,0,2,1,1,5,7,0,5,1,1952.0,0,2.0,410.0,2,3,0,0,48,0,0,0,0,4,4,4,0,4,2007,4,125000,44.181444068749045
820,906340110,20,5,79.0,10637,1,2,0,1,2,1,0,18,5,4,3,4,8,5,44.799553569204235,2008,5,0,11,12,3,336.0,2,3,5,4,2,3,5,1288.0,3,0.0,417.0,1705.0,4,4,1,4,1718,0,0,1718,1.0,0.0,2,0,3,1,2,7,7,1,3,4,2007.0,1,3.0,826.0,2,3,2,208,44,0,0,0,0,4,4,4,0,9,2009,4,297000,44.81071300481616
675,535426150,20,5,80.0,9000,1,2,2,3,2,1,2,11,5,4,3,4,6,6,44.24929377967517,1958,3,1,5,5,2,82.0,1,3,3,3,2,3,4,0.0,3,0.0,160.0,160.0,4,1,1,4,1142,0,0,1142,0.0,0.0,1,0,2,1,1,5,7,1,3,2,1958.0,1,1.0,384.0,2,3,2,0,28,64,0,0,0,4,4,4,0,4,2009,4,113500,44.24929377967517
2910,923225240,160,3,41.0,2665,1,2,0,1,2,1,0,0,5,4,4,6,5,6,44.46346815083142,1977,2,0,12,14,1,0.0,1,3,5,2,2,0,3,548.0,2,173.0,36.0,757.0,4,4,1,4,925,550,0,1475,0.0,0.0,2,0,4,1,1,6,7,1,2,4,1977.0,1,1.0,336.0,2,3,2,104,26,0,0,0,0,4,4,4,0,7,2006,4,127000,44.46346815083142
21,527358140,20,5,105.0,11751,1,2,2,1,2,1,0,16,5,4,3,4,6,6,44.46346815083142,1977,5,0,9,10,2,480.0,1,3,3,3,2,0,1,705.0,3,0.0,1139.0,1844.0,4,4,1,4,1844,0,0,1844,0.0,0.0,2,0,3,1,1,7,7,1,2,4,1977.0,1,2.0,546.0,2,3,2,0,122,0,0,0,0,4,2,4,0,1,2010,3,190000,44.46346815083142
1873,534177210,20,5,80.0,9600,1,2,0,1,2,1,0,16,5,4,3,4,7,6,44.41846462902562,1973,5,0,8,9,2,320.0,1,3,3,2,2,0,3,916.0,3,0.0,326.0,1242.0,4,1,1,4,1242,0,0,1242,0.0,0.0,1,1,3,1,1,6,7,1,2,4,1973.0,0,2.0,528.0,2,3,2,0,0,0,0,0,0,4,4,4,0,9,2007,4,175500,44.41846462902562
2125,907135050,20,5,60.0,8428,1,2,3,1,2,1,0,18,5,4,3,4,5,7,44.654227123532216,1994,2,0,11,12,1,0.0,1,2,5,3,4,0,5,420.0,3,0.0,570.0,990.0,4,4,1,4,990,0,0,990,1.0,0.0,1,0,3,1,1,5,7,0,5,1,1995.0,0,1.0,384.0,2,3,2,256,0,0,0,0,0,4,4,4,0,7,2007,4,146000,44.654227123532216
1489,908102260,20,5,75.0,9937,1,2,0,1,2,1,0,5,5,4,3,4,5,6,44.328320518603,1965,2,0,8,9,1,0.0,2,3,3,2,2,0,1,830.0,1,290.0,136.0,1256.0,4,3,1,4,1256,0,0,1256,1.0,0.0,1,1,3,1,1,6,7,0,5,4,1965.0,2,1.0,276.0,2,3,2,736,68,0,0,0,0,4,4,4,0,6,2008,4,147500,44.328320518603
2383,528110050,20,5,107.0,13891,1,2,0,1,2,1,0,26,5,4,3,4,10,5,44.78839135311738,2006,2,0,11,12,4,355.0,3,3,5,4,4,3,5,1386.0,3,0.0,690.0,2076.0,4,4,1,4,2076,0,0,2076,1.0,0.0,2,1,2,1,3,7,7,1,3,4,2006.0,2,3.0,850.0,2,3,2,216,229,0,0,0,0,4,4,4,0,9,2006,8,465000,44.78839135311738
983,923275040,85,5,70.0,9101,1,2,2,1,2,2,0,12,5,4,3,2,5,6,44.474711915874174,1978,2,0,9,10,2,104.0,1,2,5,3,2,2,5,1097.0,3,0.0,0.0,1097.0,4,4,1,4,1110,0,0,1110,1.0,0.0,1,0,1,1,2,4,7,1,2,4,1978.0,2,2.0,602.0,2,3,2,303,30,0,0,0,0,4,4,4,0,7,2009,4,165500,44.474711915874174
1325,902406090,50,3,81.0,12150,1,0,0,1,2,1,0,3,5,4,3,1,5,5,44.204072210600685,1954,2,0,6,8,2,335.0,1,3,1,2,2,0,4,0.0,3,0.0,1050.0,1050.0,4,4,0,2,1050,745,0,1795,0.0,0.0,2,0,4,1,1,7,7,0,5,4,1954.0,0,1.0,352.0,1,3,2,0,0,0,0,0,0,4,4,4,0,11,2008,4,131500,44.204072210600685
1378,905102170,20,5,70.0,11200,1,2,0,1,2,1,0,8,5,4,3,4,5,5,44.328320518603,1965,5,0,8,9,1,0.0,1,3,3,2,2,0,0,906.0,3,0.0,134.0,1040.0,4,4,1,4,1040,0,0,1040,1.0,0.0,1,0,3,1,1,5,7,0,5,1,1965.0,0,1.0,384.0,2,3,2,0,0,0,0,0,0,4,4,4,0,2,2008,4,129500,44.328320518603
1537,909281110,70,5,100.0,9670,1,2,2,3,2,1,2,19,5,4,3,6,8,6,43.98863489584554,1950,2,0,10,6,3,40.0,1,3,5,2,0,0,2,210.0,3,0.0,398.0,608.0,4,2,1,4,983,890,0,1873,0.0,0.0,1,1,4,1,1,9,7,2,3,1,1935.0,2,2.0,786.0,1,3,2,0,0,207,0,0,0,4,4,4,0,6,2008,4,257076,44.15880433163923
905,909101140,50,5,60.0,10998,1,0,0,1,2,1,0,5,5,4,3,1,5,5,44.05678154382138,1960,2,0,5,5,1,0.0,1,3,3,2,2,0,2,408.0,0,420.0,156.0,984.0,4,4,1,4,984,620,0,1604,0.0,0.0,2,0,3,1,1,6,4,0,5,1,1977.0,0,2.0,660.0,2,3,2,0,68,0,0,0,0,4,4,4,0,7,2009,4,117000,44.27188724235731
1532,909275050,70,5,60.0,7200,1,2,0,3,2,1,2,19,5,4,3,6,7,6,43.94314508543966,2000,2,0,4,7,1,0.0,1,1,1,3,2,0,4,0.0,3,0.0,776.0,776.0,4,2,1,4,851,651,0,1502,0.0,0.0,1,1,3,1,1,6,7,1,3,4,1931.0,1,1.0,270.0,2,3,1,0,0,112,0,0,0,4,2,4,0,2,2008,4,149000,44.721359549995796
132,534475100,20,5,80.0,9920,1,2,0,1,2,1,0,11,5,4,3,4,5,5,44.204072210600685,1954,2,0,8,9,3,110.0,1,3,3,2,2,0,0,354.0,1,290.0,412.0,1056.0,4,2,1,4,1063,0,0,1063,1.0,0.0,1,0,3,1,1,6,7,0,5,4,1954.0,1,1.0,280.0,2,3,2,0,0,164,0,0,0,4,2,4,0,2,2010,4,128000,44.204072210600685
1078,528188090,160,5,36.0,2448,1,2,0,1,2,1,0,26,5,4,1,6,7,5,44.75488800120049,2004,2,0,11,7,3,106.0,2,3,5,3,2,0,4,0.0,3,0.0,764.0,764.0,4,4,1,4,764,862,0,1626,0.0,0.0,2,1,2,1,2,6,7,0,5,5,2003.0,1,2.0,474.0,2,3,2,0,27,0,0,0,0,4,4,4,0,10,2008,4,155000,44.76605857119878
2511,533221080,160,6,81.0,2998,1,2,0,1,2,1,0,21,5,4,4,6,6,5,44.721359549995796,2000,2,0,6,8,2,513.0,2,3,5,3,2,0,5,353.0,3,0.0,403.0,756.0,4,4,1,4,768,756,0,1524,0.0,0.0,2,1,2,1,2,4,7,0,5,1,2000.0,0,2.0,440.0,2,3,2,0,32,0,0,0,0,4,4,4,0,6,2006,4,166000,44.721359549995796
912,909250220,50,5,65.0,7804,1,2,0,1,2,1,0,6,5,4,3,1,4,3,43.9089968002003,1950,2,0,7,10,1,0.0,1,3,1,2,2,0,1,622.0,3,0.0,500.0,1122.0,4,2,1,4,1328,653,0,1981,1.0,0.0,2,0,4,1,2,7,4,2,2,1,1981.0,0,2.0,576.0,2,3,2,431,44,0,0,0,0,4,2,4,0,12,2009,4,135000,44.15880433163923
2351,527356020,60,5,80.0,16692,1,2,2,1,2,1,0,16,4,4,3,6,7,5,44.474711915874174,1978,2,0,9,10,2,184.0,1,3,3,3,2,0,1,790.0,1,469.0,133.0,1392.0,4,2,1,4,1392,1392,0,2784,1.0,0.0,3,1,5,1,2,12,7,2,2,4,1978.0,1,2.0,564.0,2,3,2,0,112,0,0,440,519,1,2,3,2000,7,2006,4,250000,44.474711915874174
330,923226250,160,3,21.0,1476,1,2,0,1,2,1,0,0,5,4,1,6,4,7,44.384682042344295,1970,2,0,12,14,1,0.0,1,3,3,2,2,0,5,176.0,3,0.0,370.0,546.0,4,4,1,4,546,546,0,1092,0.0,0.0,1,1,3,1,1,5,7,0,5,6,1919.0,3,0.0,0.0,5,5,2,200,26,0,0,0,0,4,4,4,0,3,2010,4,76000,44.384682042344295
2586,535305120,20,5,75.0,10170,1,2,0,1,2,2,0,11,5,4,3,4,6,6,44.170125650715555,1951,5,0,5,5,2,522.0,1,3,3,2,2,0,4,0.0,3,0.0,216.0,216.0,4,2,1,4,1575,0,0,1575,0.0,0.0,1,1,2,1,2,5,7,1,3,4,1951.0,0,2.0,400.0,2,3,2,0,0,0,0,0,0,4,4,4,0,6,2006,4,155000,44.170125650715555
224,905106140,60,5,80.0,9364,1,2,0,1,2,2,0,8,5,4,3,6,6,7,44.37341546466758,1969,2,0,8,9,3,143.0,1,3,3,2,2,0,3,371.0,3,0.0,292.0,663.0,4,2,1,4,663,689,0,1352,0.0,0.0,1,1,4,1,1,7,7,0,5,4,1969.0,2,1.0,299.0,2,3,2,379,36,0,0,0,0,4,2,4,0,3,2010,4,158000,44.37341546466758
98,533212020,160,6,24.0,2544,1,1,0,1,2,1,0,21,5,4,1,6,7,5,44.76605857119878,2005,2,0,6,8,1,0.0,2,3,5,3,2,0,5,368.0,4,42.0,190.0,600.0,4,4,1,4,600,600,0,1200,1.0,0.0,2,1,2,1,2,4,7,0,5,1,2004.0,1,2.0,480.0,2,3,2,0,172,0,0,0,0,4,4,4,0,2,2010,4,149500,44.77722635447622
2565,534479300,20,5,82.0,9888,1,2,0,1,2,1,0,11,5,4,3,4,5,6,44.204072210600685,1975,2,0,6,8,1,0.0,1,2,3,2,2,0,1,486.0,3,0.0,450.0,936.0,4,2,1,3,936,0,0,936,0.0,0.0,1,0,2,1,1,5,7,0,5,4,1954.0,0,1.0,240.0,2,3,2,0,0,160,0,0,0,4,2,4,0,3,2006,4,121000,44.44097208657794
1934,535304170,20,5,68.0,7942,1,2,0,1,2,1,0,11,5,4,3,4,6,7,44.19275958796871,1953,5,0,5,5,1,0.0,1,3,3,2,2,0,0,85.0,4,955.0,0.0,1040.0,4,2,1,2,1040,0,0,1040,0.0,1.0,1,0,3,1,1,6,7,0,5,4,1953.0,2,1.0,293.0,2,3,2,0,0,0,0,0,0,4,2,4,0,6,2007,4,136000,44.19275958796871
997,527107010,60,5,21.0,15038,1,2,3,1,2,2,0,15,5,4,3,6,6,5,44.67661580737735,1996,2,0,8,9,1,0.0,1,3,5,3,2,0,0,138.0,3,0.0,778.0,916.0,4,3,1,4,916,720,0,1636,0.0,0.0,2,1,3,1,1,7,7,1,2,4,1996.0,2,2.0,386.0,2,3,2,168,84,0,0,0,0,4,4,4,0,11,2008,4,173000,44.67661580737735
64,528382020,60,5,92.0,11764,1,2,2,1,2,4,0,25,5,4,3,6,8,7,44.710177812216315,2007,2,0,11,12,2,348.0,2,3,5,3,2,0,5,524.0,3,0.0,628.0,1152.0,4,4,1,4,1164,1106,0,2270,0.0,0.0,2,1,4,1,2,9,7,1,3,4,1999.0,2,3.0,671.0,2,3,2,132,57,0,0,0,0,4,4,4,0,4,2010,4,290000,44.799553569204235
1799,528458130,60,6,75.0,9000,1,2,0,1,2,1,0,21,5,4,3,6,8,5,44.799553569204235,2007,2,0,12,14,1,0.0,2,3,5,3,2,2,5,64.0,3,0.0,1120.0,1184.0,4,4,1,4,1184,1426,0,2610,0.0,0.0,2,1,4,1,3,11,7,1,3,5,2007.0,2,2.0,550.0,2,3,2,208,364,0,0,0,0,4,4,4,0,8,2007,8,303477,44.799553569204235
